danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.808,0.414,5,-10.95,1,0.038,0.864,0.000118,0.174,0.609,115.041
0.556,0.413,9,-7.261,1,0.0791,0.908,3.38e-06,0.0924,0.191,113.086
0.617,0.364,10,-7.568,1,0.0253,0.572,5.35e-06,0.153,0.269,97.478
0.505,0.452,0,-10.141,1,0.0318,0.865,1.96e-05,0.17,0.131,149.896
0.449,0.343,0,-10.061,1,0.0377,0.864,5.52e-06,0.0753,0.484,77.361
0.595,0.362,0,-7.824,1,0.0298,0.909,0.000891,0.0946,0.145,80.005
0.656,0.293,6,-11.125,1,0.0323,0.728,0,0.159,0.278,115.972
0.719,0.194,7,-10.974,1,0.0361,0.849,4.97e-05,0.0862,0.219,125.952
0.755,0.412,1,-9.383,1,0.0441,0.701,2.14e-05,0.0798,0.502,132.011
0.374,0.281,9,-6.495,1,0.0342,0.888,0,0.0976,0.199,145.639
0.535,0.661,0,-7.797,1,0.0314,0.716,2.23e-05,0.125,0.337,135.054
0.775,0.358,9,-6.473,0,0.0527,0.861,0,0.415,0.524,139.982
0.487,0.371,2,-9.73,1,0.0306,0.595,4.11e-06,0.126,0.17,135.865
0.625,0.212,0,-9.856,1,0.0336,0.958,0.00157,0.131,0.221,126.589
0.48,0.353,1,-8.391,1,0.0319,0.689,0.000186,0.156,0.319,135.824
0.559,0.465,10,-6.219,1,0.0241,0.524,1.07e-06,0.12,0.324,79.961
0.541,0.339,1,-6.499,1,0.0268,0.742,0.000109,0.186,0.215,135.757
0.535,0.0646,2,-15.395,1,0.0381,0.954,0.000102,0.1,0.143,134.578
0.463,0.0887,1,-13.167,1,0.0393,0.952,0.000112,0.115,0.157,137.015
0.523,0.248,9,-16.656,1,0.0597,0.956,4.14e-05,0.119,0.356,110.692
0.419,0.811,11,-5.263,1,0.0364,0.101,0,0.307,0.563,165.966
0.477,0.814,8,-6.363,1,0.0324,0.126,0,0.166,0.443,149.985
0.176,0.831,10,-3.755,1,0.041,0.0316,0,0.104,0.284,164.316
0.425,0.792,7,-5.252,1,0.0505,0.319,0,0.128,0.367,140.007
0.475,0.718,10,-6.463,1,0.0457,0.565,0,0.186,0.522,143.986
0.455,0.81,8,-4.996,1,0.0394,0.0432,0,0.329,0.482,152.039
0.445,0.783,7,-4.879,0,0.0317,0.245,0,0.144,0.347,135.981
0.361,0.846,4,-3.717,1,0.0337,0.132,6.53e-05,0.286,0.443,104.932
0.408,0.827,2,-3.356,1,0.0363,0.00736,0,0.226,0.295,130.256
0.604,0.737,10,-6.575,0,0.0372,0.16,0,0.115,0.36,154.173
0.69,0.3,6,-9.204,1,0.039,0.769,1.69e-06,0.123,0.646,81.983
0.536,0.646,1,-6.98,1,0.0393,0.154,0.000106,0.194,0.152,162.004
