city,state,country,latitude,longitude
Hồ Chí Minh,Ho Chi Minh City,Vietnam,10.7756,106.7019
Hà Nội,Hanoi,Vietnam,21.0000,105.8500
Hải Phòng,Haiphong,Vietnam,20.8651,106.6838
Cần Thơ,Cần Thơ,Vietnam,10.0333,105.7833
Đồng Nai,Biên Hòa,Vietnam,10.9500,106.8167
Hồ Chí Minh,Thủ Đức,Vietnam,10.8266,106.7609
Thừa Thiên-Huế,Huế,Vietnam,16.4667,107.5792
Hồ Chí Minh,Tân An,Vietnam,10.9050,106.6994
Bắc Ninh,Bắc Ninh,Vietnam,21.1833,106.0500
Hải Dương,Hải Dương,Vietnam,20.9397,106.3306
Nghệ An,Vinh,Vietnam,18.6667,105.6667
Thanh Hóa,Thanh Hóa,Vietnam,19.8075,105.7764
Nam Định,Nam Định,Vietnam,20.4200,106.1683
Bình Dương,Thủ Dầu Một,Vietnam,10.9667,106.6500
An Giang,Long Xuyên,Vietnam,10.3736,105.4458
Phú Thọ,Việt Trì,Vietnam,21.3000,105.4333
Tiền Giang,Mỹ Tho,Vietnam,10.3500,106.3500
Thái Bình,Thái Bình,Vietnam,20.4461,106.3422
Kiến Giang,Rạch Giá,Vietnam,10.0167,105.0833
Đồng Tháp,Sa Đéc,Vietnam,10.3000,105.7667
Ninh Bình,Ninh Bình,Vietnam,20.2539,105.9750
Vĩnh Phúc,Vĩnh Yên,Vietnam,21.3100,105.5967
Hồ Chí Minh,Quận Mười Một,Vietnam,10.7638,106.6436
Hồ Chí Minh,Quận Năm,Vietnam,10.7557,106.6675
Hồ Chí Minh,Quận Mười,Vietnam,10.7682,106.6663
Hồ Chí Minh,Quận Phú Nhuận,Vietnam,10.7948,106.6763
Hồ Chí Minh,Quận Sáu,Vietnam,10.7468,106.6490
Hà Nội,Đống Đa,Vietnam,21.0201,105.8310
Hà Nội,Hai BàTrưng,Vietnam,21.0134,105.8477
Hồ Chí Minh,Quận Ba,Vietnam,10.7749,106.6863
Hà Nội,Hoàn Kiếm,Vietnam,21.0286,105.8506
Hồ Chí Minh,Quận Một,Vietnam,10.7807,106.6994
Hồ Chí Minh,Quận Bốn,Vietnam,10.7668,106.7057
Hà Nội,Cầu Giấy,Vietnam,21.0323,105.8007
Hồ Chí Minh,Quận Tân Phú,Vietnam,10.7838,106.6370
Hồ Chí Minh,Quận Bình Thạnh,Vietnam,10.8033,106.6967
Hà Nội,Ba Đình,Vietnam,21.0341,105.8145
Đà Nẵng,Thanh Khê,Vietnam,16.0706,108.1910
Hà Nội,Thanh Xuân,Vietnam,20.9947,105.7998
Đà Nẵng,Đà Nẵng,Vietnam,16.0748,108.2240
Hồ Chí Minh,Quận Bảy,Vietnam,10.7118,106.7364
Hà Nội,Tây Hồ,Vietnam,21.0689,105.8105
Bình Dương,Lái Thiêu,Vietnam,10.9051,106.6995
Hà Nội,Hà Đông,Vietnam,20.9714,105.7788
Hà Nội,Cầu Diễn,Vietnam,21.0393,105.7666
Hồ Chí Minh,Quận Hai,Vietnam,10.7916,106.7495
Hồ Chí Minh,Hóc Môn,Vietnam,10.8886,106.5958
Đà Nẵng,Cẩm Lệ,Vietnam,16.0177,108.2038
Hồ Chí Minh,Quận Chín,Vietnam,10.8397,106.7709
Hà Nội,Văn Điển,Vietnam,20.9463,105.8450
Đà Nẵng,Sơn Trà,Vietnam,16.0607,108.2326
Hà Nội,Trâu Quỳ,Vietnam,21.0195,105.9369
Hà Nội,Trôi,Vietnam,21.0695,105.7065
Hà Nội,Phùng,Vietnam,21.0890,105.6590
Hồ Chí Minh,Tân Túc,Vietnam,10.6954,106.5913
Hà Nội,Đông Anh,Vietnam,21.1550,105.8486
,,,,
